📝 Logging started: vit_tiny_patch16_224_pdt_20260306_024138.log
>>> [System] ViT detected. Input size forced to 224 for dataloader.
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: vit_tiny_patch16_224 | Dataset: cifar100
>>> [Model] Loading Vision Transformer for Hessian Analysis: vit_tiny_patch16_224

[Stage 1] Analyzing ViT Block-wise Topology for visiontransformer...
[*] ViT: 12 transformer blocks identified for grouping.

==================== Final Topology Groups ====================
 Group  1 | Channels:  576 | Layers: blocks.0.attn.proj ... (4 layers)
 Group  2 | Channels:  576 | Layers: blocks.1.attn.proj ... (4 layers)
 Group  3 | Channels:  576 | Layers: blocks.2.attn.proj ... (4 layers)
 Group  4 | Channels:  576 | Layers: blocks.3.attn.proj ... (4 layers)
 Group  5 | Channels:  576 | Layers: blocks.4.attn.proj ... (4 layers)
 Group  6 | Channels:  576 | Layers: blocks.5.attn.proj ... (4 layers)
 Group  7 | Channels:  576 | Layers: blocks.6.attn.proj ... (4 layers)
 Group  8 | Channels:  576 | Layers: blocks.7.attn.proj ... (4 layers)
 Group  9 | Channels:  576 | Layers: blocks.8.attn.proj ... (4 layers)
 Group 10 | Channels:  576 | Layers: blocks.9.attn.proj ... (4 layers)
 Group 11 | Channels:  576 | Layers: blocks.10.attn.proj ... (4 layers)
 Group 12 | Channels:  576 | Layers: blocks.11.attn.proj ... (4 layers)
===============================================================
[*] Total 12 groups identified.


[Pruner Init] Identified 12 groups for pruning.
[*] Applied Min Survival Guarantee: 40.0%
[System] Initializing ViTPDTPruner for vit_tiny_patch16_224

>>> Strategy: PDT | Total Epochs: 300
>>> Pruning starts at Epoch 100, every 50 epochs.
Epoch 64/300 | Loss: 0.2797 | Val Acc: 84.90% | Peak VRAM: 4506.89 MB
Epoch 65/300 | Loss: 0.2759 | Val Acc: 84.87% | Peak VRAM: 4506.89 MB
Epoch 66/300 | Loss: 0.2722 | Val Acc: 84.88% | Peak VRAM: 4506.89 MB
Epoch 67/300 | Loss: 0.2696 | Val Acc: 85.16% | Peak VRAM: 4506.89 MB
Epoch 68/300 | Loss: 0.2658 | Val Acc: 85.17% | Peak VRAM: 4506.89 MB
Epoch 69/300 | Loss: 0.2587 | Val Acc: 85.05% | Peak VRAM: 4506.89 MB
Epoch 70/300 | Loss: 0.2595 | Val Acc: 85.00% | Peak VRAM: 4506.89 MB
Epoch 71/300 | Loss: 0.2556 | Val Acc: 85.16% | Peak VRAM: 4506.89 MB
Epoch 72/300 | Loss: 0.2511 | Val Acc: 84.99% | Peak VRAM: 4506.89 MB
Epoch 73/300 | Loss: 0.2486 | Val Acc: 85.20% | Peak VRAM: 4506.89 MB
Epoch 74/300 | Loss: 0.2459 | Val Acc: 85.20% | Peak VRAM: 4506.89 MB
Epoch 75/300 | Loss: 0.2408 | Val Acc: 85.20% | Peak VRAM: 4506.89 MB
Epoch 76/300 | Loss: 0.2391 | Val Acc: 85.19% | Peak VRAM: 4506.89 MB
Epoch 77/300 | Loss: 0.2349 | Val Acc: 85.19% | Peak VRAM: 4506.89 MB
Epoch 78/300 | Loss: 0.2305 | Val Acc: 85.06% | Peak VRAM: 4506.89 MB
Epoch 79/300 | Loss: 0.2297 | Val Acc: 85.19% | Peak VRAM: 4506.89 MB
Epoch 80/300 | Loss: 0.2281 | Val Acc: 85.25% | Peak VRAM: 4506.89 MB
Epoch 81/300 | Loss: 0.2234 | Val Acc: 85.27% | Peak VRAM: 4506.89 MB
Epoch 82/300 | Loss: 0.2208 | Val Acc: 85.31% | Peak VRAM: 4506.89 MB
Epoch 83/300 | Loss: 0.2185 | Val Acc: 85.25% | Peak VRAM: 4506.89 MB
Epoch 84/300 | Loss: 0.2157 | Val Acc: 85.24% | Peak VRAM: 4506.89 MB
Epoch 85/300 | Loss: 0.2111 | Val Acc: 85.40% | Peak VRAM: 4506.89 MB
Epoch 86/300 | Loss: 0.2096 | Val Acc: 85.35% | Peak VRAM: 4506.89 MB
Epoch 87/300 | Loss: 0.2071 | Val Acc: 85.32% | Peak VRAM: 4506.89 MB
Epoch 88/300 | Loss: 0.2015 | Val Acc: 85.50% | Peak VRAM: 4506.89 MB
Epoch 89/300 | Loss: 0.2018 | Val Acc: 85.44% | Peak VRAM: 4506.89 MB
Epoch 90/300 | Loss: 0.1998 | Val Acc: 85.57% | Peak VRAM: 4506.89 MB
Epoch 91/300 | Loss: 0.1964 | Val Acc: 85.39% | Peak VRAM: 4506.89 MB
Epoch 92/300 | Loss: 0.1956 | Val Acc: 85.67% | Peak VRAM: 4506.89 MB
Epoch 93/300 | Loss: 0.1922 | Val Acc: 85.67% | Peak VRAM: 4506.89 MB
Epoch 94/300 | Loss: 0.1878 | Val Acc: 85.60% | Peak VRAM: 4506.89 MB
Epoch 95/300 | Loss: 0.1872 | Val Acc: 85.47% | Peak VRAM: 4506.89 MB
Epoch 96/300 | Loss: 0.1852 | Val Acc: 85.56% | Peak VRAM: 4506.89 MB
Epoch 97/300 | Loss: 0.1807 | Val Acc: 85.54% | Peak VRAM: 4506.89 MB
Epoch 98/300 | Loss: 0.1784 | Val Acc: 85.44% | Peak VRAM: 4506.89 MB
Epoch 99/300 | Loss: 0.1771 | Val Acc: 85.58% | Peak VRAM: 4506.89 MB

[System] Saving Baseline Dense Model before pruning starts...
📊 Dense Baseline - Acc: 85.58%, Size: 20.89 MB
💾 Saved Baseline: vit_tiny_patch16_224_DENSE_BASELINE.pth


[DEBUG] >>> PRUNING @ Epoch 100

[DEBUG] === ViT MCPrune (EMA-Hessian) Running: Epoch 100 ===

============================== ViT PDT Pruning Report: Epoch 100 ==============================
 [*] Pruned this step: 423 units | VRAM: 4455.4MB
 Group  1 |  192/ 192 |     0.0% | Hessian: 4.296979
 Group  2 |  192/ 192 |     0.0% | Hessian: 6.708424
 Group  3 |  192/ 192 |     0.0% | Hessian: 12.510324
 Group  4 |  192/ 192 |     0.0% | Hessian: 8.964048
 Group  5 |  192/ 192 |     0.0% | Hessian: 9.786793
 Group  6 |  192/ 192 |     0.0% | Hessian: 6.386288
 Group  7 |  192/ 192 |     0.0% | Hessian: 4.627498
 Group  8 |  192/ 192 |     0.0% | Hessian: 2.301318
 Group  9 |  189/ 192 |     1.6% | Hessian: 1.153694
 Group 10 |  110/ 192 |    42.7% | Hessian: 0.544006
 Group 11 |   46/ 192 |    76.0% | Hessian: 0.454746
 Group 12 |    0/ 192 |   100.0% | Hessian: 0.083483

[Scientific Metrics] 🟢 Size: 18.72MB | 🔵 Sparsity: 10.38% | 🟡 Speedup: 1.12x
=========================================================================================

 [*] ViT Pruning Complete: 423 units pruned.

[Scientific Metrics - Epoch 100]
 🟢 Model Size: 20.89 MB -> 18.72 MB
 🔵 Sparsity: 8.05 %
 🟡 Speedup: 1.12x
💾 Checkpoint saved: vit_tiny_patch16_224_pdt_ep100_sp8.05.pth
Epoch 100/300 | Loss: 1.6126 | Val Acc: 70.26% | Peak VRAM: 19662.38 MB
Epoch 101/300 | Loss: 1.0191 | Val Acc: 73.79% | Peak VRAM: 4508.67 MB
Epoch 102/300 | Loss: 0.8355 | Val Acc: 75.57% | Peak VRAM: 4508.67 MB
Epoch 103/300 | Loss: 0.7394 | Val Acc: 76.29% | Peak VRAM: 4508.67 MB
Epoch 104/300 | Loss: 0.6699 | Val Acc: 77.07% | Peak VRAM: 4508.67 MB
Epoch 105/300 | Loss: 0.6251 | Val Acc: 77.81% | Peak VRAM: 4508.67 MB
Epoch 106/300 | Loss: 0.5859 | Val Acc: 78.27% | Peak VRAM: 4508.67 MB
Epoch 107/300 | Loss: 0.5562 | Val Acc: 78.73% | Peak VRAM: 4508.67 MB
Epoch 108/300 | Loss: 0.5302 | Val Acc: 79.19% | Peak VRAM: 4508.67 MB
Epoch 109/300 | Loss: 0.5090 | Val Acc: 79.53% | Peak VRAM: 4508.67 MB
Epoch 110/300 | Loss: 0.4883 | Val Acc: 79.78% | Peak VRAM: 4508.67 MB
Epoch 111/300 | Loss: 0.4703 | Val Acc: 80.03% | Peak VRAM: 4508.67 MB
Epoch 112/300 | Loss: 0.4553 | Val Acc: 80.25% | Peak VRAM: 4508.67 MB
Epoch 113/300 | Loss: 0.4410 | Val Acc: 80.43% | Peak VRAM: 4508.67 MB
Epoch 114/300 | Loss: 0.4274 | Val Acc: 80.58% | Peak VRAM: 4508.67 MB
Epoch 115/300 | Loss: 0.4161 | Val Acc: 80.70% | Peak VRAM: 4508.67 MB
Epoch 116/300 | Loss: 0.4032 | Val Acc: 80.82% | Peak VRAM: 4508.67 MB
Epoch 117/300 | Loss: 0.3945 | Val Acc: 80.98% | Peak VRAM: 4508.67 MB
Epoch 118/300 | Loss: 0.3841 | Val Acc: 80.98% | Peak VRAM: 4508.67 MB
Epoch 119/300 | Loss: 0.3751 | Val Acc: 81.20% | Peak VRAM: 4508.67 MB
Epoch 120/300 | Loss: 0.3635 | Val Acc: 81.53% | Peak VRAM: 4508.67 MB
Epoch 121/300 | Loss: 0.3586 | Val Acc: 81.47% | Peak VRAM: 4508.67 MB
Epoch 122/300 | Loss: 0.3515 | Val Acc: 81.60% | Peak VRAM: 4508.67 MB
Epoch 123/300 | Loss: 0.3435 | Val Acc: 81.41% | Peak VRAM: 4508.67 MB
Epoch 124/300 | Loss: 0.3399 | Val Acc: 81.57% | Peak VRAM: 4508.67 MB
Epoch 125/300 | Loss: 0.3321 | Val Acc: 81.76% | Peak VRAM: 4508.67 MB
Epoch 126/300 | Loss: 0.3227 | Val Acc: 81.56% | Peak VRAM: 4508.67 MB
Epoch 127/300 | Loss: 0.3176 | Val Acc: 81.91% | Peak VRAM: 4508.67 MB
Epoch 128/300 | Loss: 0.3102 | Val Acc: 82.01% | Peak VRAM: 4508.67 MB
Epoch 129/300 | Loss: 0.3065 | Val Acc: 81.90% | Peak VRAM: 4508.67 MB
Epoch 130/300 | Loss: 0.3014 | Val Acc: 82.08% | Peak VRAM: 4508.67 MB
Epoch 131/300 | Loss: 0.2943 | Val Acc: 82.23% | Peak VRAM: 4508.67 MB
Epoch 132/300 | Loss: 0.2887 | Val Acc: 82.16% | Peak VRAM: 4508.67 MB
Epoch 133/300 | Loss: 0.2837 | Val Acc: 82.21% | Peak VRAM: 4508.67 MB
Epoch 134/300 | Loss: 0.2789 | Val Acc: 82.15% | Peak VRAM: 4508.67 MB
Epoch 135/300 | Loss: 0.2747 | Val Acc: 82.47% | Peak VRAM: 4508.67 MB
Epoch 136/300 | Loss: 0.2715 | Val Acc: 82.56% | Peak VRAM: 4508.67 MB
Epoch 137/300 | Loss: 0.2661 | Val Acc: 82.41% | Peak VRAM: 4508.67 MB
